cluster,text
2,"immediately who this man is--do you hear? Who is he? or no coal, no money, no rent--do you hear?"" She yelled all this, shaking her jewelled finger in the woman's face. I would have liked to have seen how far she would have gone, but the eyes of the poor mother were so appealing, so"
2,"of the odd wording of this question. ""Tussie isn't well,"" she said the moment Priscilla appeared, fixing her eyes on her face but looking as though she hardly saw her, as though she saw past her, through her, to something beyond, while she said a lesson learned by rote. ""Isn't he? Oh I'm sorry,"" said"
2,"on three grown-up women, was unceasing in her attempts to get them off her hands: but we will introduce a conversation which took place between her and a sedate-looking, powdered old gentleman, who had long been considered as a ""friend of the family,"" as thereby more light will perhaps be thrown upon her character. ""The"
2,"for you."" ""My dear Mary!"" exclaimed another. And Mary shook hands heartily with both her callers, and expressed her gratitude to Miss Glidden. It was a day of triumph for Mary, and it must have been for Miss Glidden, for she seemed to be continually persuading herself that much of the credit of Mary's advancement"
2,"was supposed to include father and daughter. He did not know whether this was a regular introduction, and even if it had been he would not have known what to do. The young woman made no attempt to return the salutation, not that she was rude, but she had the air of regarding it as"
2,"young man gave a brief rehearsal of the principal events of the past two years. He hesitated somewhat when he came to his meeting and renewal of acquaintance with Florence Howard, recollecting his uncle's former aversion to their intercourse. He might have passed over it in silence, but his delicate sense of honor would not"
3,"fellow is one of the very identical highwaymen who robbed me on my road from Bath. No doubt he did me the same kind office on my road to Mauleverer Park. "" ""Possibly,"" said Brandon, who appeared absorbed in a revery. ""Ay!"" answered Mauleverer, piqued at this indifference. ""But do you not see the consequences"
3,"his own study. ""Confound that fellow Fletcher!"" he muttered between his teeth. ""He always takes precious good care to sneak away when there's any row on. If it wasn't for that money I owe him, I'd punch his head."" Half an hour later there was a sharp rap at the door, and Allingford, Oaks, and"
3,"us. This half-wild honey resembled the kind which we eat in France, as the flesh of a roe resembles lamb's meat. One would have said that the bees had distilled in an invisible alembic all the perfumes of the mountains. I forgot, in eating my bread spread with the honey, that I had only a"
3,"in his jersey, next his breast, saying to himself sadly: ""For sure, they'll never marry. But what on earth can he have to say against her?"" Midnight was struck on the cruiser's bell. And yet our couple remained sitting there, thinking of home, the absent ones, a thousand things in reverie. At this same moment"
3,"isn't it?"" ""Assuredly. Where did you know Jackson?"" ""Through the Warings. Jackson's a rather doubtful person, isn't he?"" ""Let's call him a very sharp lawyer,"" said Flanders defensively. ""They tell me, though, he is on the wrong side of the market--in deep."" ""And you?"" ""Oh, I? I'm a bachelor,"" he said with a shrug of"
3,"handed the things to me. ""Please take these upstairs, Stone; we must investigate this more fully,"" and we withdrew to discuss our findings. ""What do you think of O'Brien, Oakes?"" I asked. ""He seems to be a cool sort of a customer."" ""Yes, he is no ignoramus. He's a shrewd fellow, and a deep one;"
3,"sat down beside him, and whispered confidentially, ""Well, how are things going on at Kincairney?""--Dowbiggin really deserved his leadership--or when the clerk, suddenly wheeling round in his seat, would pass his snuff-box across to him without a word, for the clerk had a way of handing his box, which, being interpreted, ran as follows:--""You suppose"
3,"he approached the foreman, he discovered that individual, several degrees less breezy than usual, engaged in an animated conversation with a young man whose prevailing expression was so penitential that Dennis, with prompt Celtic intuition, decided that he was gazing upon his predecessor in office. He was assured of this by the glance of belligerent"
3,"sorry for my country when it produces such men."" ""Weâ€”we are tottering on the verge of chaos!"" added Markham, in a stage whisper. I laughed at all this, for I enjoyed it hugely. ""Spare yourselves any needless worry about me, gentlemen,"" said I. ""Look to home, and you will probably find enough there to fret"
3,"man turned, surprised. One never does get over that feeling of astonishment when, fifteen hundred miles or so from home, a familiar voice calls one's name in greeting. ""Hello!"" Terabon replied, heartily, and then shook hands with a market hunter he had met for an hour's gossip in the eddy at St. Louis. ""Any luck,"
4,"each other; but when the fire burnt out, Gropphusen went back to his old habits. Truth to tell, he was a rake, who, even after marriage, thought nothing of spending dissipated nights week after week in the capital, returning by the early morning train. He seemed to have cast-iron nerves; for even the envious had"
4,"horrors, succeeds to frenzy, and despotism is welcomed as repose! Chapter 5.IV. The Hollowness of the Base. The rapid and busy march of state events has led us long away from the sister of the Tribune and the betrothed of Adrian. And the sweet thoughts and gentle day-dreams of that fair and enamoured girl, however"
4,"see the outline of the tall form, which looked almost gigantic in the full religious habit. ""Welcome, Holy Father,"" said Raymond, still speaking in French. ""Right glad am I to look upon face of man again. I prithee tell me where I am, and into whose hands I have fallen; for methinks there is some"
4,"his urbanely offhand greeting to the little Jew who rose obsequiously from a big easy-chair. ""I have been lunching at the Manor House, and as I met Mr. Chermside there I am able to forestall your report. He tells me that he intends to kick over the traces."" ""Prethithely what he told me, Mr. Nugent,"
4,"in this house, was an anomaly; but his surprise only lasted for an instant, for he had seen among German and Russian Jews many instances of the same contrast between apparent misery and hoarded wealth. As he walked from the door to the bed he kept his eye on the patient, and the moment he"
4,"Uncle Roland's snuff, just to say that I had taken a pinch out of his box,--the honor of the thing, you know."" ""Ah, my dear! what was that very clever remark you made at the same time, which so pleased your father,--something about Jews and the college?"" ""Jews and--oh! pulverem Olympicum collegisse juvat, my dear"
4,"half amused. And her sharp, teasing tongue was even more disconcerting than her naughty, quizzical stare. He could imagine, from past experience at her hands, what would happen now if he included her in his plan. ""What do you want of more nuts?"" she would ask, with the inquiring innocence that he had learned to"
4,"that he had acquired in the dungeon of Vincennes, and of which there is a very sufficient dose in his Clairoal, I never once suspected the least unfriendly dealing. ] It was, however, understood but by few readers, and not one of these would ever speak of it. I had written it to become a"
4,"could not appear perfectly happy, he would not allow the world to perceive that his soul harbored secret care. He entered the palace now destined to become his abode, and found himself the lord and master of an establishment such as no Christian monarch in Europe possessed. But as he passed through marble halls and"
4,"kissed it, and departed and came to his chamber, and found raiment therebefore rich beyond measure; and he wondered if any new snare lay therein: yet if there were, he saw no way whereby he might escape it, so he did it on, and became as the most glorious of kings, and yet lovelier than"
